species,belly,breast,crown,mantle,nape,rump,tail,tail.underside,throat,wing.coverts,wing.primaries.secondaries,Size,Light_environment ,Parental_care,Territoriality,Hunting_strategy
Atelornis_crossleyi,-0.187234382,-0.21886722,-0.186449706,-0.127831502,-0.141949145,-0.005119336,-0.033967679,0.028901277,-0.152161791,-0.031722028,-0.02427677,79,forest,pair,1,ground_dweller
Atelornis_pittoides,-0.097733502,-0.195146452,0.211683097,-0.131566801,0.062415468,-0.116348531,-0.028218393,0.057274899,-0.054725592,-0.058791568,-0.078414828,91.5,forest,pair,1,ground_dweller
Baryphthengus_martii,-0.127856091,-0.282380421,-0.253188968,-0.213765356,-0.277897544,-0.055813797,0.115367936,0.05632237,-0.283896647,-0.065586009,-0.027202465,165.02,forest,pair,0,ground_catcher
Baryphthengus_ruficapillus,-0.133599534,-0.185513672,-0.186560861,-0.169747044,-0.235804384,-0.100863062,-0.008259621,0.016728669,-0.190234437,-0.102987047,-0.063751049,141.65,forest,pair,0,ground_dweller
Brachypteracias_leptosomus,-0.048203983,-0.04554262,-0.04776221,-0.058433303,0.02615811,-0.073835148,-0.10498157,-0.011799587,-0.103588816,-0.076918148,-0.067344909,185,forest,pair,1,aerial_catcher
Brachypteracias_squamiger,-0.052391734,-0.034267352,-0.053846519,-0.190893335,-0.094558,-0.131968767,-0.140527726,-0.006026223,-0.061253868,-0.105931123,-0.061854106,155,forest,pair,,ground_dweller
Caridonax_fulgidus,-0.009851008,-0.019695067,0.064422376,0.300561536,0.199621003,0.02540224,0.221673972,0.04773512,-0.040947213,0.280372835,0.183723046,171.81,forest,pair,1,
Ceryle_rudis,-0.008191814,0.009826587,0.059145807,0.038973409,0.054462353,0.038482849,0.034870843,0.013042024,0.000204885,0.037547229,0.031657946,84.37,open,cooperative,1,water_diver
Ceyx_erithaca,-0.278247835,-0.307354584,-0.170126462,0.417433633,-0.14141739,0.126346716,-0.185124324,-0.199565819,-0.120132747,0.065199792,0.017303256,17.79,woodland,pair,1,ground_catcher
Ceyx_lecontei,-0.235942181,-0.242923122,-0.047042481,0.138117189,-0.076641428,0.33271129,0.3215973,0.019073295,-0.05407481,0.271870864,0.227224688,9.5,woodland,pair,,ground_catcher
Ceyx_lepidus,-0.239468301,-0.258344898,0.321112215,0.172965589,0.357792989,0.278553352,0.326240716,-0.171371707,-0.093679459,0.23195526,0.083317589,21.32,forest,pair,0,aerial_catcher
Ceyx_madagascariensis,-0.022707884,-0.009073879,-0.202840744,-0.186366139,-0.227990074,-0.191876206,-0.150655884,,-0.000769736,-0.208261479,-0.080815721,17.7,woodland,pair,,ground_catcher
Ceyx_melanurus,-0.110002835,-0.071084206,-0.166745986,-0.093470793,-0.027745576,-0.248534383,-0.21830996,-0.171235792,-0.050315456,-0.146889148,-0.161072095,22.8,forest,pair,0,
Ceyx_pictus,-0.244128169,-0.293951721,0.242546396,0.347012248,0.213112129,0.366234633,0.335560326,,-0.044357732,0.322770024,0.141735802,12.72,woodland,pair,,aerial_catcher
Ceyx_rufidorsa,-0.275473792,-0.279584566,-0.224892991,-0.23714994,-0.169326012,-0.115527972,0.001795959,,-0.179240649,-0.221873498,-0.068544085,17.79,woodland,pair,0,
Chloroceryle_aenea,-0.107077968,-0.204564552,-0.020426324,-0.008099232,-0.006871146,0.004224085,0.042827853,0.049022179,-0.195152936,-0.00529905,0.018328706,13.75,woodland,pair,0,aerial_catcher
Chloroceryle_amazona,-0.022653082,-0.157067493,-0.022233058,-0.009460784,-0.019121987,-0.01066563,0.04119475,0.061678787,-0.018974721,-0.004060758,0.001593072,126.38,open,pair,0,water_diver
Chloroceryle_americana,-0.027166895,-0.247916712,-0.043725915,0.007548045,-0.006741113,0.007477094,0.03947195,0.045937425,-0.021424696,-0.01457202,0.025305938,33.73,open,pair,0,water_diver
Chloroceryle_inda,-0.270223823,-0.271175405,-0.051169818,-0.040291375,-0.054787931,-0.020087337,0.022264598,0.069401048,-0.223395781,-0.003356461,0.032141498,52.1,woodland,pair,0,water_diver
Cittura_cyanotis,-0.06813002,-0.000688612,-0.143808687,-0.060013552,-0.066941658,-0.1250704,-0.141622194,-0.141870639,-0.031839,0.150572636,0.069091382,147.02,forest,pair,0,ground_catcher
Clytoceyx_rex,-0.225557647,-0.254912061,-0.158074928,-0.09236475,-0.097844322,-0.054435501,-0.025345059,-0.052418386,-0.089385992,-0.089012002,-0.068004824,242,woodland,pair,0,ground_dweller
Coracias_abyssinicus,0.098872176,0.115620973,0.075072555,0.026731206,0.14776386,0.101715748,0.008227947,0.090673839,0.057463471,0.266316164,0.111030757,102,open,pair,1,aerial_catcher
Coracias_benghalensis,0.040997409,-0.036266983,0.014106308,-0.081446145,-0.025009885,0.12770392,0.081259568,0.110965825,-0.034168185,0.111329732,0.331570912,157.46,open,pair,1,aerial_catcher
Coracias_caudatus,0.123632772,0.047868597,-0.054488563,-0.055209069,-0.049214683,0.135081512,0.036401137,0.110011402,-0.010584123,0.300410278,0.21361872,110,open,pair,1,ground_catcher
Coracias_cyanogaster,0.251317343,-0.069588331,-0.101916501,-0.088306716,-0.087936135,0.157614884,0.146429863,0.120969531,-0.052438422,0.349640992,0.240921881,142,woodland,cooperative,1,ground_catcher
Coracias_garrulus,0.073378656,0.072351738,0.06090243,-0.074151895,0.112394178,-0.075111617,0.052220646,0.091991581,0.0611235,0.164689564,0.089930892,146,open,pair,1,aerial_catcher
Coracias_naevia,-0.038993083,-0.042029869,-0.052193997,-0.099629677,-0.050213126,-0.037092478,0.105736027,0.130492318,-0.033360905,0.001100423,0.113468919,168,open,pair,,ground_catcher
Coracias_spatulatus,0.085977781,0.084464441,-0.087365139,-0.105722152,-0.075164609,0.122834229,0.060401888,0.077188912,0.059641609,-0.004119695,0.022497423,90.36,woodland,pair,1,ground_catcher
Coracias_temminckii,0.120781532,0.156553612,0.073193712,0.008356016,0.112297474,0.146095539,0.20233244,0.138851393,0.136034699,0.243509117,0.05564975,153.67,woodland,pair,0,ground_catcher
Dacelo_gaudichaud,-0.210819926,-0.164411579,0.053440543,-0.153891578,0.014128031,0.163103644,0.205552323,0.023293945,-0.062654355,0.200313741,0.120936222,143,woodland,pair,1,aerial_catcher
Dacelo_leachii,-0.045624307,-0.051977519,-0.047701643,-0.049513653,-0.028831723,0.064382484,0.020529948,-0.028096975,-0.019738251,0.095837682,0.095484875,307.98,open,cooperative,1,aerial_catcher
Dacelo_novaeguineae,-0.070580314,-0.051488331,-0.117539766,-0.045199849,-0.077724628,-0.071672324,-0.065450823,-0.009720015,-0.013724254,-0.024357821,-0.027573022,333.8,woodland,cooperative,1,ground_catcher
Dacelo_tyro,-0.197277604,-0.170739609,-0.023442088,-0.064014196,-0.014699538,0.144321068,0.156419453,0.013031722,-0.118806743,0.121849829,0.094189448,145.9,woodland,cooperative,0,aerial_catcher
Electron_carinatum,-0.160011082,-0.172036554,-0.048392706,-0.113229049,-0.109443851,-0.086970241,0.063145946,0.042984381,-0.079057899,-0.070585262,-0.024772077,64.9,forest,pair,1,aerial_catcher
Electron_platyrhynchum,-0.031518983,-0.190996021,-0.16229248,-0.156128598,-0.245461317,-0.070730006,0.085302438,0.042950718,-0.113061458,-0.062281771,-0.035219613,73,forest,pair,0,aerial_catcher
